question_id,label
114678,suicidal
116349,non-suicidal
108590,non-suicidal
100709,suicidal
120766,non-suicidal
126063,suicidal
102524,non-suicidal
113320,suicidal
105981,non-suicidal
120977,non-suicidal
109347,suicidal
115047,suicidal
113915,suicidal
123871,suicidal
111339,non-suicidal
112269,suicidal
112264,suicidal
118644,suicidal
105827,suicidal
119006,non-suicidal
104472,non-suicidal
114374,suicidal
127075,suicidal
112174,suicidal
119909,suicidal
116331,non-suicidal
105713,non-suicidal
117036,suicidal
102450,suicidal
116094,non-suicidal
103011,suicidal
125522,non-suicidal
111372,non-suicidal
117352,non-suicidal
109978,non-suicidal
114215,suicidal
112449,non-suicidal
122444,non-suicidal
105672,suicidal
100003,suicidal
116008,suicidal
105077,non-suicidal
104785,suicidal
125076,non-suicidal
103873,non-suicidal
113229,suicidal
111429,suicidal
104780,suicidal
115390,suicidal
111068,non-suicidal
121834,suicidal
118682,non-suicidal
119439,suicidal
106072,non-suicidal
123925,suicidal
118194,suicidal
119429,suicidal
113185,non-suicidal
108292,suicidal
125956,non-suicidal
122729,suicidal
103998,non-suicidal
115300,non-suicidal
103219,suicidal
105528,suicidal
111326,suicidal
100407,non-suicidal
119874,suicidal
125032,suicidal
118212,suicidal
113445,suicidal
120710,suicidal
123962,non-suicidal
108651,non-suicidal
100386,non-suicidal
118138,non-suicidal
117993,suicidal
107949,non-suicidal
103749,non-suicidal
113329,non-suicidal
122993,suicidal
121387,non-suicidal
112557,non-suicidal
106201,suicidal
102203,suicidal
109297,non-suicidal
103845,non-suicidal
105396,suicidal
114455,non-suicidal
106570,non-suicidal
109457,non-suicidal
117515,non-suicidal
103210,non-suicidal
110660,non-suicidal
103098,non-suicidal
103080,non-suicidal
100443,non-suicidal
114378,suicidal
106691,non-suicidal
103315,non-suicidal
101261,suicidal
107808,non-suicidal
111249,suicidal
106925,non-suicidal
100410,non-suicidal
101106,suicidal
119252,non-suicidal
120314,suicidal
113812,non-suicidal
110577,non-suicidal
117334,non-suicidal
107584,non-suicidal
108636,non-suicidal
120942,suicidal
120557,non-suicidal
105944,non-suicidal
117072,suicidal
101635,non-suicidal
125445,suicidal
101213,suicidal
115764,non-suicidal
123276,suicidal
103806,suicidal
117500,non-suicidal
109066,non-suicidal
118284,non-suicidal
117288,suicidal
121819,non-suicidal
115241,suicidal
127307,non-suicidal
117896,non-suicidal
123034,non-suicidal
111118,suicidal
121250,non-suicidal
103833,non-suicidal
106903,non-suicidal
105743,non-suicidal
125563,non-suicidal
100839,suicidal
116926,suicidal
112200,non-suicidal
108588,suicidal
111396,non-suicidal
122846,non-suicidal
109812,non-suicidal
106959,suicidal
111275,suicidal
117432,suicidal
101101,non-suicidal
123005,suicidal
107254,non-suicidal
108615,suicidal
110731,non-suicidal
106974,non-suicidal
104966,non-suicidal
126656,non-suicidal
125031,suicidal
124843,non-suicidal
101694,suicidal
115143,non-suicidal
114068,suicidal
116368,suicidal
104945,suicidal
104245,non-suicidal
101761,non-suicidal
126143,non-suicidal
118654,non-suicidal
100556,non-suicidal
107534,non-suicidal
116889,suicidal
123628,non-suicidal
125470,suicidal
117978,non-suicidal
117130,non-suicidal
124519,suicidal
113698,suicidal
119233,non-suicidal
116382,non-suicidal
117203,non-suicidal
101631,non-suicidal
127202,suicidal
124765,suicidal
100830,non-suicidal
109792,non-suicidal
121614,suicidal
114377,non-suicidal
116434,non-suicidal
106009,suicidal
100729,non-suicidal
120627,non-suicidal
114422,non-suicidal
106600,suicidal
109378,suicidal
108697,non-suicidal
104278,non-suicidal
126907,suicidal
118220,suicidal
115959,suicidal
121800,non-suicidal
124505,suicidal
117672,suicidal
126830,non-suicidal
125120,non-suicidal
123894,suicidal
106803,suicidal
111581,non-suicidal
114023,suicidal
112646,non-suicidal
124602,non-suicidal
111568,non-suicidal
115888,non-suicidal
108220,non-suicidal
120150,suicidal
113433,non-suicidal
113415,non-suicidal
119075,suicidal
100680,suicidal
100260,non-suicidal
101153,suicidal
119074,suicidal
104302,suicidal
112232,suicidal
121168,non-suicidal
111343,suicidal
105861,non-suicidal
126009,suicidal
112394,non-suicidal
105243,non-suicidal
108260,suicidal
117320,non-suicidal
103145,non-suicidal
114618,suicidal
107814,suicidal
118093,suicidal
123188,suicidal
115378,suicidal
118356,suicidal
109802,suicidal
109624,non-suicidal
120425,non-suicidal
113782,suicidal
120318,non-suicidal
122622,suicidal
119906,non-suicidal
116909,non-suicidal
100088,non-suicidal
119486,suicidal
119433,suicidal
100369,non-suicidal
121468,suicidal
114640,non-suicidal
126173,suicidal
124914,suicidal
115845,suicidal
114101,suicidal
122745,suicidal
112343,suicidal
116383,non-suicidal
111357,suicidal
114013,suicidal
109246,suicidal
101671,suicidal
104464,non-suicidal
122433,suicidal
111148,suicidal
104429,non-suicidal
101217,non-suicidal
121211,non-suicidal
121909,non-suicidal
107402,non-suicidal
123296,non-suicidal
111496,suicidal
115862,suicidal
107056,suicidal
103390,suicidal
114395,suicidal
123733,non-suicidal
116162,suicidal
101989,suicidal
120770,suicidal
120437,suicidal
115447,suicidal
111302,non-suicidal
120478,suicidal
120963,non-suicidal
103321,suicidal
125785,suicidal
120186,suicidal
109846,suicidal
114476,suicidal
103506,non-suicidal
109494,suicidal
126526,suicidal
109932,suicidal
118600,suicidal
105678,non-suicidal
108696,suicidal
105435,suicidal
110391,suicidal
101597,suicidal
119663,non-suicidal
103055,suicidal
103042,suicidal
100502,suicidal
102378,non-suicidal
119456,suicidal
116887,non-suicidal
104571,non-suicidal
118589,suicidal
122864,non-suicidal
104772,suicidal
124124,non-suicidal
101569,suicidal
111490,non-suicidal
106824,non-suicidal
105054,suicidal
120688,suicidal
113462,non-suicidal
126715,suicidal
120903,non-suicidal
106141,suicidal
111509,suicidal
103088,non-suicidal
122621,non-suicidal
110038,suicidal
123801,suicidal
115696,suicidal
107538,non-suicidal
117381,non-suicidal
113388,suicidal
111685,non-suicidal
124146,suicidal
122961,non-suicidal
110188,non-suicidal
118165,suicidal
114822,non-suicidal
107096,suicidal
108596,suicidal
106242,non-suicidal
115443,suicidal
122450,suicidal
123464,suicidal
121563,suicidal
120467,non-suicidal
107599,suicidal
109756,non-suicidal
126014,suicidal
106519,non-suicidal
106382,non-suicidal
101465,non-suicidal
121215,non-suicidal
108835,suicidal
108876,non-suicidal
115090,non-suicidal
